"","ModernName","Year","arrival"
"1","acadian flycatcher",2013,2013-05-28
"2","american black duck",2013,2013-03-04
"3","american black duck",2014,2014-03-20
"4","american black duck",2015,2015-03-04
"5","american coot",2012,2012-03-08
"6","american coot",2013,2013-03-12
"7","american coot",2014,2014-03-28
"8","american coot",2015,2015-03-11
"9","american crow",2012,2012-03-01
"10","american crow",2013,2013-03-01
"11","american crow",2014,2014-03-03
"12","american crow",2015,2015-03-02
"13","american goldfinch",2012,2012-04-10
"14","american goldfinch",2013,2013-03-01
"15","american goldfinch",2014,2014-03-11
"16","american goldfinch",2015,2015-03-03
"17","american kestrel",2012,2012-05-09
"18","american kestrel",2013,2013-04-08
"19","american kestrel",2015,2015-03-04
"20","american pipit",2014,2014-04-10
"21","american redstart",2012,2012-05-08
"22","american redstart",2013,2013-05-06
"23","american redstart",2014,2014-05-08
"24","american redstart",2015,2015-05-04
"25","american robin",2012,2012-03-14
"26","american robin",2013,2013-03-02
"27","american robin",2014,2014-03-11
"28","american robin",2015,2015-03-02
"29","american tree sparrow",2012,2012-03-15
"30","american tree sparrow",2013,2013-03-02
"31","american tree sparrow",2014,2014-03-07
"32","american tree sparrow",2015,2015-03-12
"33","american wigeon",2013,2013-04-05
"34","american woodcock",2012,2012-05-08
"35","american woodcock",2013,2013-04-03
"36","american woodcock",2014,2014-04-10
"37","baltimore oriole",2012,2012-05-15
"38","baltimore oriole",2013,2013-05-10
"39","baltimore oriole",2014,2014-05-07
"40","baltimore oriole",2015,2015-05-04
"41","bank swallow",2014,2014-04-15
"42","barn swallow",2012,2012-05-04
"43","barn swallow",2013,2013-04-15
"44","barn swallow",2014,2014-04-22
"45","barn swallow",2015,2015-04-15
"46","bay breasted warbler",2012,2012-05-18
"47","bay breasted warbler",2013,2013-05-13
"48","bay breasted warbler",2014,2014-05-14
"49","belted kingfisher",2012,2012-04-17
"50","belted kingfisher",2013,2013-04-05
"51","belted kingfisher",2014,2014-04-10
"52","belted kingfisher",2015,2015-04-03
"53","black and white warbler",2012,2012-05-08
"54","black and white warbler",2013,2013-04-15
"55","black and white warbler",2014,2014-04-23
"56","black and white warbler",2015,2015-05-06
"57","black capped chickadee",2012,2012-03-07
"58","black capped chickadee",2013,2013-03-01
"59","black capped chickadee",2014,2014-03-03
"60","black capped chickadee",2015,2015-03-03
"61","black crowned night heron",2012,2012-03-01
"62","black crowned night heron",2013,2013-03-01
"63","black crowned night heron",2014,2014-03-21
"64","black crowned night heron",2015,2015-03-26
"65","black throated blue warbler",2013,2013-05-18
"66","black throated blue warbler",2014,2014-05-13
"67","black throated blue warbler",2015,2015-05-13
"68","black throated green warbler",2012,2012-05-18
"69","black throated green warbler",2013,2013-05-10
"70","black throated green warbler",2014,2014-05-10
"71","black throated green warbler",2015,2015-05-04
"72","blackburnian warbler",2012,2012-05-13
"73","blackburnian warbler",2013,2013-05-14
"74","blackburnian warbler",2014,2014-05-10
"75","blackburnian warbler",2015,2015-05-14
"76","blackpoll warbler",2012,2012-05-12
"77","blackpoll warbler",2013,2013-05-10
"78","blackpoll warbler",2014,2014-05-11
"79","blackpoll warbler",2015,2015-05-12
"80","blue gray gnatcatcher",2012,2012-05-07
"81","blue gray gnatcatcher",2013,2013-04-23
"82","blue gray gnatcatcher",2014,2014-04-23
"83","blue gray gnatcatcher",2015,2015-04-17
"84","blue headed vireo",2013,2013-05-08
"85","blue headed vireo",2014,2014-05-02
"86","blue headed vireo",2015,2015-05-06
"87","blue jay",2012,2012-05-08
"88","blue jay",2013,2013-05-01
"89","blue jay",2014,2014-04-23
"90","blue jay",2015,2015-05-07
"91","blue winged teal",2012,2012-04-06
"92","blue winged teal",2013,2013-04-12
"93","blue winged teal",2014,2014-04-11
"94","blue winged teal",2015,2015-05-04
"95","blue winged warbler",2015,2015-05-04
"96","brewer's blackbird",2013,2013-05-13
"97","brewster's warbler",2013,2013-05-28
"98","brown creeper",2012,2012-03-22
"99","brown creeper",2013,2013-04-08
"100","brown creeper",2014,2014-03-28
"101","brown creeper",2015,2015-04-01
"102","brown headed cowbird",2012,2012-05-10
"103","brown headed cowbird",2013,2013-04-05
"104","brown headed cowbird",2014,2014-04-09
"105","brown headed cowbird",2015,2015-04-08
"106","brown thrasher",2012,2012-04-05
"107","brown thrasher",2013,2013-04-12
"108","brown thrasher",2014,2014-04-07
"109","brown thrasher",2015,2015-04-03
"110","bufflehead",2012,2012-03-20
"111","bufflehead",2013,2013-03-06
"112","bufflehead",2014,2014-03-28
"113","bufflehead",2015,2015-04-06
"114","canada goose",2012,2012-03-01
"115","canada goose",2013,2013-03-01
"116","canada goose",2014,2014-03-03
"117","canada goose",2015,2015-03-02
"118","canada warbler",2012,2012-05-18
"119","canada warbler",2013,2013-05-18
"120","canada warbler",2014,2014-05-14
"121","canada warbler",2015,2015-05-12
"122","cape may warbler",2012,2012-05-08
"123","cape may warbler",2013,2013-05-06
"124","cape may warbler",2014,2014-05-10
"125","cape may warbler",2015,2015-05-08
"126","caspian tern",2012,2012-04-09
"127","caspian tern",2013,2013-04-05
"128","caspian tern",2014,2014-04-21
"129","caspian tern",2015,2015-04-30
"130","cedar waxwing",2012,2012-05-08
"131","cedar waxwing",2013,2013-05-19
"132","cedar waxwing",2014,2014-05-10
"133","cedar waxwing",2015,2015-05-27
"134","cerulean warbler",2014,2014-05-20
"135","chestnut sided warbler",2012,2012-05-09
"136","chestnut sided warbler",2013,2013-05-09
"137","chestnut sided warbler",2014,2014-05-08
"138","chestnut sided warbler",2015,2015-05-12
"139","chimney swift",2012,2012-05-09
"140","chimney swift",2013,2013-05-09
"141","chimney swift",2014,2014-04-30
"142","chimney swift",2015,2015-05-04
"143","chipping sparrow",2012,2012-05-12
"144","chipping sparrow",2013,2013-04-11
"145","chipping sparrow",2014,2014-04-18
"146","chipping sparrow",2015,2015-04-10
"147","clay colored sparrow",2012,2012-05-10
"148","clay colored sparrow",2013,2013-05-08
"149","clay colored sparrow",2014,2014-04-30
"150","clay colored sparrow",2015,2015-05-04
"151","cliff swallow",2014,2014-05-10
"152","common golden eye",2013,2013-03-01
"153","common goldeneye",2012,2012-03-20
"154","common goldeneye",2013,2013-03-20
"155","common goldeneye",2014,2014-03-07
"156","common goldeneye",2015,2015-03-03
"157","common grackle",2012,2012-03-14
"158","common grackle",2013,2013-03-12
"159","common grackle",2014,2014-03-14
"160","common grackle",2015,2015-03-13
"161","common merganser",2014,2014-03-17
"162","common yellowthroat",2012,2012-05-07
"163","common yellowthroat",2013,2013-04-30
"164","common yellowthroat",2014,2014-04-30
"165","common yellowthroat",2015,2015-05-04
"166","connecticut warbler",2015,2015-05-16
"167","cooper's hawk",2012,2012-03-05
"168","cooper's hawk",2013,2013-03-02
"169","cooper's hawk",2014,2014-03-14
"170","cooper's hawk",2015,2015-03-03
"171","dark eyed junco",2012,2012-03-12
"172","dark eyed junco",2013,2013-03-01
